@relation 'FeatureSet data'

@attribute class {+,-}
@attribute net.imagej.ops.features.firstorder.FirstOrderFeatures$SumFeature numeric
@attribute net.imagej.ops.features.firstorder.FirstOrderFeatures$MeanFeature numeric
@attribute net.imagej.ops.features.firstorder.FirstOrderFeatures$VarianceFeature numeric

@data
?,1429650,146.136155,318.316156
?,808439,167.101902,296.943718
?,648751,153.878321,313.549366
?,767129,159.918491,322.606991
?,732023,141.289905,251.099722
?,1443202,145.689683,330.753366
?,722724,147.284288,327.17375
?,580907,153.273615,208.234168
?,663000,145.618274,183.20355
?,774091,170.504626,380.971779
?,714439,142.261848,227.504615
?,805343,148.204453,363.575898
?,726166,141.635654,242.057628
?,747313,168.96066,391.551595
?,768433,150.791405,277.698776
?,646137,150.649802,270.156717
?,796518,157.726337,374.652366
?,650829,153.75124,316.513955
?,644094,150.665263,182.547962
?,808715,147.953714,372.299962
?,619628,151.609494,166.587066
?,735345,146.483068,348.515553
?,746040,169.055065,388.298191
?,742180,160.993492,299.70011
?,838961,179.880146,358.299807
?,670722,149.815055,278.976065
?,759173,151.350279,261.8707
?,765374,159.32015,338.853135
?,774028,166.960311,460.71644
?,782982,159.013404,347.03293
?,595407,146.0763,161.527674
?,793794,149.069296,333.098315
?,786977,149.558533,316.522234
?,772943,167.050573,457.24474
?,1574068,160.292057,492.052386
?,718665,143.131846,229.033609
?,1420568,146.435213,310.051395
?,678443,151.980959,263.465692
?,816137,166.796853,304.135746
?,806705,157.16053,389.028005
?,833848,166.602997,503.757425
?,635929,145.488218,175.615136
?,798849,157.594989,378.132895
?,745427,160.825674,304.048154
?,842338,179.756295,360.607831
?,777179,159.355957,337.437256
?,881333,177.223607,459.724728
?,654227,144.80456,185.061418
?,661823,148.091967,290.912086
?,1377416,147.648837,281.312349
?,826953,167.094969,486.416606
?,923231,129.014952,590.146108
?,774221,170.495706,381.249156
?,698067,148.651405,296.881012
?,684671,143.627229,202.024882
?,658366,150.072031,193.624997
?,792364,158.441112,363.664581
?,784942,158.895142,350.403256
?,813617,156.766281,399.395163
?,586802,151.120783,250.950117
?,663734,162.759686,283.072968
?,677394,143.942626,196.554412
?,642227,154.270238,304.347185
?,815592,147.458326,389.008163
?,792084,157.974471,368.288596
?,599248,145.944472,163.055625
?,772269,159.625672,330.610521
?,1445090,145.630354,332.265888
?,739663,158.013886,263.82438
?,747433,168.949593,392.00492
?,697312,143.067706,211.880086
?,740564,140.791635,263.910179
?,643099,150.714554,181.453429
?,685225,146.823441,316.294152
?,602838,145.824383,165.028914
?,831915,155.614478,433.774825
?,739347,146.202689,357.02042
?,620140,151.586409,167.010319
?,809919,167.028047,299.035104
?,594183,146.13453,160.439216
?,750387,151.86946,247.587612
?,813303,166.899856,301.929624
?,700958,143.993016,211.19576
?,730185,146.800362,340.254727
?,682772,143.711219,200.551535
?,699759,142.95383,214.069384
?,1423953,146.331621,312.644693
?,819872,156.404426,408.974359
?,619497,151.614537,166.523842
?,1429540,146.139849,318.215181
?,1395711,147.133776,293.24905
?,722976,141.815614,237.597935
?,898498,175.248293,407.406735
?,1439158,145.826122,326.852009
?,777692,170.285089,387.283139
?,593101,152.66435,220.756517
?,623041,155.294367,283.952469
?,624036,155.232836,285.356573
?,721845,141.872052,236.351033
?,684481,144.710571,198.460303
?,1529705,162.010697,431.733918
?,809556,168.306861,445.960298
?,631780,146.482727,222.354119
?,733342,152.747761,226.849071
?,840290,165.476566,344.165986
?,733782,169.896272,361.304199
?,931781,173.257903,483.601132
?,1377872,147.634416,281.689308
?,731728,158.623022,318.036738
?,706182,142.66303,219.337227
?,1384868,147.420481,287.006824
?,621482,155.3705,282.644391
?,617859,155.592798,277.695354
?,1360976,148.060923,273.056891
?,813507,147.615133,383.527531
?,883229,177.07077,466.661724
?,880801,177.259207,458.443668
?,812185,156.853032,396.967579
?,661909,145.666593,182.331475
?,778718,158.662999,352.508784
?,618481,151.662825,165.644195
?,627961,146.651331,219.723064
?,715364,159.537021,294.099678
?,775151,158.842418,348.603775
?,831707,165.976252,328.251133
?,815547,156.655206,402.344302
?,647892,150.497561,185.845312
?,742181,140.69782,266.314055
?,851534,179.157164,383.066414
?,812351,166.944307,300.885901
?,816495,156.596663,403.987873
?,658069,148.280532,287.669087
?,648990,153.86202,313.961038
?,816985,167.82765,460.705239
?,697425,143.061538,212.022064
?,770037,150.692172,280.558776
?,626495,146.720141,218.555767
?,605977,145.702573,166.837201
?,820783,167.540927,471.024611
?,827431,167.056531,487.998419
?,1546997,161.397705,451.438225
?,717234,158.961436,242.239701
?,779334,158.626908,353.438746
?,678363,144.980338,193.578066
?,785060,158.886865,350.670801
?,839268,165.536095,342.379739
?,819171,147.200539,397.555392
?,710897,159.823966,285.726819
?,635941,150.983143,177.079982
?,657272,163.17577,271.622437
?,620598,155.421488,281.600109
?,761388,151.219067,265.481003
?,717200,147.602387,319.722481
?,771729,159.646049,330.293687
?,1529588,162.015464,431.565015
?,748559,151.96082,245.542627
?,706980,142.622554,220.204762
?,829958,166.859268,495.476672
?,1400595,146.98237,297.079454
?,736855,158.15733,260.345573
?,1442018,145.731986,329.460201
?,753554,168.467248,409.032525
?,766447,167.566025,438.439878
?,719896,159.339531,297.907717
?,637247,146.258205,225.47303
?,828541,166.977227,490.734615
?,781902,159.084842,344.859101
?,741344,146.077635,360.187113
?,620471,155.428607,281.468217
?,785632,158.297804,361.218429
?,705277,143.78736,215.257181
?,755569,139.868382,289.229295
?,753701,168.46245,409.044085
?,854794,178.939502,391.263299
?,772386,159.616863,330.917665
?,791862,149.210854,328.247466
?,733646,141.19438,253.565674
?,1391992,147.238418,290.872168
?,758354,151.398283,260.577561
?,830570,155.712411,430.457311
?,807819,157.1021,390.408753
?,764077,139.32841,304.495629
?,676097,149.645197,280.494632
?,779380,138.359666,331.593273
?,687705,149.17679,286.625931
?,667457,152.491889,254.270101
?,824782,146.784481,411.807406
?,693737,148.870601,292.684046
?,826429,134.949216,440.762242
?,1524901,162.189002,425.706961
?,567966,153.920325,195.609264
?,686310,143.549467,203.55681
?,649108,153.380907,236.778061
?,789463,149.378051,322.746906
?,647142,150.533147,185.045609
?,821850,146.995171,404.869565
?,811530,147.765841,378.148037
?,594432,146.123894,160.591482
?,605726,145.712293,166.715087
?,673026,152.268326,257.324681
?,755464,139.874838,289.057665
?,736144,169.735762,366.336066
?,759550,168.079221,420.864019
?,762436,159.472077,335.419565
?,656831,144.708306,186.343719
?,684430,143.636936,201.882431
?,821509,156.299277,412.073118
?,805895,148.1697,364.565349
?,645642,150.604619,183.567156
?,777346,166.705125,469.647694
?,806360,168.518286,439.406908
?,1415110,146.597949,305.909101
?,712871,159.693324,289.72242
?,806112,148.155119,365.011963
?,746555,160.756891,306.07765
?,821948,146.986409,405.226429
?,733942,152.713691,227.734868
?,646347,148.859281,277.829768
?,732601,152.784359,226.048191
?,751912,168.590135,404.952403
?,864676,178.357261,413.596704
?,712243,159.731554,288.550397
?,786643,158.789463,353.466871
?,774548,159.503295,333.659721
?,1367409,147.891953,276.494003
?,918567,174.069926,453.101061
?,593931,146.144439,160.314106
?,1533646,161.862375,436.735543
?,722287,141.847408,236.961783
?,644688,153.606862,232.134729
?,752961,151.71489,251.891489
?,774624,166.908856,462.692769
?,739677,146.181225,357.590199
?,775307,159.462567,334.651036
?,651360,148.610541,282.086306
?,701189,143.981314,211.444917
?,658482,145.360265,239.002881
?,718597,142.043289,232.485868
?,669828,145.33044,187.966957
?,597489,146.01393,162.033783
?,762525,160.160681,316.665983
?,771514,150.598087,283.363034
?,563156,150.335291,260.451502
?,628316,151.292078,171.868186
?,1577205,160.154854,497.431791
?,1422617,146.374833,311.485232
?,841589,179.788293,359.833589
?,701771,143.953026,212.02385
?,1422168,146.388883,311.133292
?,696730,146.187579,329.535006
?,881941,177.167738,462.410074
?,584855,153.103403,211.6345
?,788934,169.553836,410.466845
?,822093,156.261737,413.212279
?,805456,148.197976,363.737022
?,829825,155.777173,427.789054
?,737879,158.105635,261.58571
?,734715,158.275528,257.056798
?,680396,143.816529,198.68557
?,772336,138.80949,318.929725
?,710320,142.462896,223.366828
?,579720,153.324517,207.413444
?,619233,149.826518,269.256199
?,862544,178.506623,407.732103
?,841135,166.035334,525.100232
?,838885,166.214583,518.217322
?,694502,143.196289,209.488788
?,751170,160.575032,309.631636
?,759762,151.316869,262.737622
?,893537,175.547544,396.697778
?,735466,141.083062,256.616085
?,928882,173.428305,477.473664
?,685244,149.290632,284.673414
?,636983,146.264753,225.47904
?,593496,152.648148,220.929423
?,613931,155.780513,274.348006
?,1421813,146.397549,310.971276
?,736022,141.054427,257.234147
?,653415,150.244884,190.701518
?,1426996,146.223588,315.884211
?,694076,160.70294,263.61507
?,641496,154.317056,303.214177
?,815193,156.677494,401.711425
?,670241,144.230902,192.150935
?,724057,158.680035,248.191769
?,799580,157.552709,379.27565
?,630803,149.550261,268.306342
?,672538,144.135877,193.651844
?,629050,146.59753,220.659658
?,1364616,147.973975,274.590582
?,618531,145.297393,171.349037
?,669588,145.341437,187.754216
?,739976,152.415242,234.516455
?,686981,151.55107,272.376308
?,802936,157.376715,383.380112
?,880543,177.278639,457.675466
?,717485,158.946611,242.641731
?,667849,152.476941,254.429475
?,729020,152.962652,222.033022
?,661610,153.11502,331.064314
?,751413,168.629488,403.580086
?,740127,146.154621,358.209744
?,744185,169.209868,382.461972
?,1373535,147.739593,279.460258
?,675339,152.137644,260.354867
?,655425,153.136682,240.439598
?,662403,145.647098,182.615921
?,713292,147.832539,314.29409
?,782110,138.181979,336.679371
?,656609,148.352689,286.465639
?,683367,146.929048,314.023782
?,790563,149.303683,325.111764
?,775578,150.334949,291.354635
?,693621,144.32397,205.004491
?,1430151,146.127618,318.406663
?,898255,175.269268,406.436848
?,875957,177.642872,441.221521
?,750293,168.718912,400.406802
?,903132,175.093447,411.705829
?,651970,145.659071,233.87525
?,632676,154.726339,296.442948
?,881214,177.235318,459.135119
?,706672,160.061608,279.744278
?,1553555,161.140442,460.493345
?,732213,158.350562,255.82019
?,884821,175.838831,389.216914
?,614934,145.443236,169.167584
?,832537,146.238714,429.3968
?,582074,151.345294,247.815202
?,745958,140.455281,273.266503
?,679092,144.950267,194.091676
?,638774,149.176553,274.044038
?,793041,149.123919,331.236287
?,836843,166.370378,512.264662
?,626857,146.701849,218.900317
?,917254,174.15113,450.426833
?,790312,158.569823,359.838592
?,640055,149.127446,274.489696
?,1372068,147.772536,278.898923
?,701409,148.477773,300.425295
?,777228,166.715573,469.239401
?,1532115,161.922955,434.625392
?,685718,149.263822,285.259361
?,681261,144.856687,195.715314
?,601358,145.889859,163.947585
?,635157,149.343287,271.511007
?,672670,147.515351,301.978268
?,838430,179.920601,356.468474
?,839512,166.174188,519.5238
?,721965,159.198456,302.467885
?,808658,168.365188,444.198138
?,851260,164.90895,361.057393
?,774008,158.901252,347.300103
?,864236,132.510886,507.157756
?,633576,154.681641,297.168464
?,650833,146.057675,177.096785
?,751925,160.530529,310.90383
?,728312,158.535481,251.215919
?,924253,173.731767,465.117923
?,655137,145.521324,236.118963
?,778585,158.668229,352.446367
?,691365,151.316481,277.513653
?,841108,165.442172,345.009246
?,754730,139.920282,287.775213
?,792960,158.401918,364.861807
?,655960,145.477933,237.00467
?,841873,165.984424,526.693309
?,664103,144.433014,190.104605
?,647959,148.785075,278.935423
?,1362676,148.020421,273.750153
?,806330,148.140731,365.441051
?,800420,157.904912,380.579354
?,926214,128.855593,593.257563
?,1366479,147.919355,275.857846
?,789103,158.645557,357.623993
?,658354,153.319516,325.986402
?,700821,148.51049,299.708612
?,617236,155.631871,276.81678
?,737772,140.957585,259.571677
?,725433,153.141862,217.962557
?,694217,144.297859,205.479453
?,587702,151.080206,251.430953
?,786652,158.24824,362.293294
?,883373,177.064141,466.787385
?,599004,145.95614,162.855497
?,665568,147.904,294.226834
?,1553309,161.148356,460.266222
?,653436,145.596257,234.832275
?,738605,158.193403,330.925526
?,745431,152.128776,241.42432
?,788597,158.671429,356.937501
?,757762,168.204661,416.869294
?,772630,159.601322,331.380279
?,705341,160.122815,278.48514
?,757539,151.447221,259.170279
?,883796,175.914809,386.129313
?,789683,158.094695,365.658432
?,742720,169.300205,379.798821
?,803672,157.335944,384.408757
?,680418,144.893101,195.099965
?,1549512,161.306683,454.395056
?,854067,164.750579,365.856936
?,676096,152.102587,260.947619
?,781353,149.914236,306.009722
?,646738,153.510088,233.906178
?,805264,157.247413,386.650689
?,742196,169.335159,378.760076
?,748307,168.879937,394.504769
?,836598,180.029697,352.751593
?,652219,145.64962,233.976157
?,654797,153.168889,239.716439
?,844495,133.728424,476.102193
?,599991,145.912208,163.606253
?,1388592,147.330716,288.831935
?,722697,159.149306,303.976822
?,1530552,161.980315,432.728867
?,662519,145.64058,182.768986
?,654430,153.549977,320.906561
?,629991,151.222036,173.05393
?,667975,147.78208,296.401493
?,795406,157.787344,373.081356
?,708185,143.648073,218.02808
?,711421,147.93533,312.06882
?,1550677,161.260087,456.09761
?,1369610,147.842185,277.338149
?,647720,148.79853,278.655402
?,768547,150.784187,277.909852
?,690504,160.919133,257.799287
?,894839,175.458627,400.16283
?,734412,141.151643,254.58542
?,823028,156.201936,415.064757
?,859616,178.714345,399.207634
?,707577,160.01289,280.889904
?,734466,158.290086,256.670305
?,770484,150.661713,281.526455
?,746325,160.776605,305.306904
?,1360270,148.080775,272.621673
?,761956,167.905685,426.728154
?,731910,146.70475,342.518063
?,605601,145.717276,166.651937
?,653704,153.595865,319.680585
?,657865,153.348485,325.377481
?,1568661,160.526095,483.058678
?,752372,140.054356,284.459901
?,665167,152.596238,252.407843
?,909665,174.599808,432.331849
?,683960,146.898625,314.563298
?,701916,160.328004,272.735432
?,1420787,146.4276,310.27117
?,693354,160.7591,261.694969
?,729826,158.726838,315.346293
?,913605,174.418671,438.827736
?,688457,146.636209,320.32012
?,811353,156.904467,395.511568
?,784997,158.329367,360.435171
?,830074,166.849045,495.896991
?,569625,153.827977,197.435824
?,783855,158.386543,359.174524
?,902484,175.13759,409.999505
?,868322,176.416497,369.280671
?,651956,148.577028,282.776149
?,652851,153.648153,318.502587
?,653854,144.818162,184.904677
?,853541,164.776255,365.207121
?,613080,155.841383,272.739136
?,855219,178.916109,391.894405
?,1392338,147.228296,291.103226
?,696148,143.122533,210.802585
?,659053,148.235043,288.344068
?,676994,149.611934,280.818867
?,654401,148.457577,284.806913
?,732460,141.265188,251.699145
?,652876,144.858221,184.304128
?,732586,146.663864,343.508736
?,690151,144.473728,202.408491
?,811229,156.910832,395.378583
?,1366225,151.836519,261.655498
?,844693,133.717429,476.333219
?,1548269,161.345248,453.344783
?,728235,158.82988,312.440076
?,823774,156.165687,415.864844
?,872470,177.837342,434.371091
?,1550452,161.270231,455.697279
?,668666,147.738842,297.425704
?,817821,156.520766,405.936064
?,693747,146.360127,325.738819
?,760870,160.250632,314.388824
?,551348,150.723893,258.236569
?,689774,144.485547,202.303059
?,1579180,160.062842,501.208823
?,777457,166.693182,470.212297
?,656656,153.424299,323.652132
?,657077,144.698745,186.48015
?,707975,148.111925,308.444679
?,1547459,161.378559,452.138489
?,733646,169.904122,361.121683
?,902850,175.106672,411.408212
?,703159,142.802396,216.749285
?,663606,145.591487,183.686493
?,788419,158.158275,364.246011
?,1452628,145.379103,339.331594
?,659143,163.073478,273.76916
?,721825,142.963953,232.869937
?,755376,168.385198,410.646684
?,607314,145.673783,166.895956
?,657220,150.118776,192.680429
?,746043,160.785129,305.268113
?,713044,147.842422,314.162223
?,1417459,146.537682,307.236819
?,1574170,160.286122,492.348269
?,730974,152.859473,224.496876
?,781211,158.524959,355.882064
?,1370159,151.750914,263.229376
?,1419562,146.467396,309.203663
?,677153,147.271205,306.989081
?,879461,175.997799,383.735984
?,680663,144.883567,195.231278
?,934852,173.024616,493.314277
?,934224,173.068544,491.650294
?,719479,141.993093,233.746695
?,1359203,148.109731,271.9909
?,776140,150.298218,292.469251
?,673755,152.226615,258.350668
?,822639,167.407204,475.612901
?,652098,145.655126,233.892653
?,774504,166.918966,462.318071
?,1425688,146.269416,314.531142
?,718631,158.883706,244.18948
?,839148,165.545078,342.038072
?,777905,159.308827,338.871424
?,839395,165.528495,342.605056
?,744462,152.179477,240.202089
?,713793,159.151171,237.37634
?,842947,165.901791,529.755904
?,670427,147.638626,299.534358
?,660489,153.174629,329.818489
?,815337,167.93759,457.034217
?,658194,148.275287,287.726363
?,731119,158.662977,316.897678
?,722200,153.300785,214.457917
?,821989,166.428224,316.406502
?,894605,175.481561,398.977981
?,708093,148.105626,308.569803
?,593306,146.170485,159.931992
?,676910,143.962144,196.267871
?,823948,146.845126,409.794013
?,681447,143.76519,199.721388
?,1422505,146.37837,311.395671
?,727314,153.054293,219.748683
?,738625,152.482453,232.988129
?,798974,157.993672,377.97227
?,774912,150.380749,289.882564
?,725875,147.087133,332.317092
?,582735,151.320436,248.043268
?,689608,160.972923,256.37377
?,1417347,146.541253,307.145232
?,1374360,147.717111,279.985965
?,776045,158.797831,349.558792
?,844798,133.712884,476.388344
?,654899,145.533111,235.909328
?,681697,143.757275,199.789417
?,784588,169.861009,400.062098
?,720953,141.919882,235.252686
?,1438086,145.865301,325.634522
?,695830,160.588507,266.902887
?,1419455,146.471468,309.074805
?,1545510,161.461555,449.008134
?,685361,149.283598,284.838509
?,842411,165.373184,346.874843
?,1445199,145.626663,332.367609
?,703854,142.769574,217.378015
?,697844,146.11474,331.424319
?,691908,143.311516,207.474514
?,688798,146.615155,320.830786
?,728798,158.503262,252.206537
?,1375867,147.672749,281.011938
?,718272,142.063291,231.937042
?,927998,173.489998,475.058099
?,774348,150.417249,288.780989
?,693750,144.320782,205.010685
?,713986,142.284974,226.991128
?,695325,160.620236,266.02765
?,753782,151.666398,253.228997
?,918026,174.099374,452.282232
?,748430,168.869585,394.890684
?,639458,154.421154,301.255436
?,675348,149.678191,279.977108
?,733459,146.603838,345.258058
?,837531,179.95939,355.512427
?,772883,158.964007,345.750401
?,833595,165.856546,332.334243
?,670778,147.618398,299.961766
?,650643,145.720717,232.804824
?,631128,151.168383,174.091669
?,803929,157.664052,388.464402
?,609143,145.623476,167.580099
?,758292,139.700074,293.816053
?,804173,157.310837,384.99532
?,765044,160.051046,318.715117
?,681098,143.782563,199.368674
?,802821,148.395749,356.764596
?,828488,146.531305,419.704221
?,704552,142.737439,217.97198
?,1552508,161.182309,459.003828
?,905803,174.899208,419.527112
?,601995,146.828049,155.045566
?,791195,149.253914,326.953251
?,744205,160.909189,301.423413
?,786263,158.808927,353.022878
?,680787,144.879123,195.282533
?,855395,164.657363,369.376994
?,770597,150.65435,281.748708
?,1437752,145.875812,325.365398
?,737658,152.534739,231.690416
?,841891,165.400982,346.074002
?,774794,159.488267,334.070791
?,646519,150.563344,184.470131
?,682245,151.778643,267.80524
?,714316,147.769135,315.894963
?,715878,159.509358,294.724227
?,578705,153.380599,206.289358
?,1378568,147.614091,282.15305
?,695208,143.164745,210.04412
?,1532239,161.918947,434.731434
?,721397,141.895555,235.822062
?,904631,174.976983,416.714695
?,642628,154.255401,304.508584
?,832942,146.207127,430.523102
?,789883,169.50279,411.670952
?,747838,151.999593,244.581825
?,593801,146.148413,160.289391
?,617739,155.601763,277.446054
?,663858,162.750184,283.371858
?,652820,145.621236,234.489259
?,1542457,161.564575,445.799596
?,736768,169.684017,368.260878
?,868068,176.436585,368.433872
?,778680,138.407394,330.146178
?,602634,146.804872,155.302803
?,708082,159.406123,231.358557
?,642282,146.072777,227.726731
?,577954,153.425538,205.301344
?,699299,142.976692,213.586369
?,798278,158.043556,376.282459
?,760668,139.546505,298.257424
?,719147,142.011651,233.294946
?,624766,146.796523,217.336261
?,797701,158.085811,374.849523
?,821533,147.017359,404.168483
?,677890,145.003209,193.129001
?,638133,145.393712,177.145776
?,689078,149.118805,287.513371
?,924920,173.693897,466.300723
?,656856,148.341463,286.616153
?,894458,175.487149,398.897058
?,644610,145.149741,180.635455
?,802706,168.742064,433.07412
?,1377985,147.630705,281.78764
?,729939,158.716895,315.732361
?,799939,157.530327,379.904832
?,804896,157.267683,386.174179
?,846665,179.454218,372.249229
?,739852,152.421096,234.398368
?,583625,151.276568,248.681852
?,661722,153.105507,331.378822
?,729316,141.449961,246.899339
?,838892,165.559897,341.616378
?,709322,159.326595,233.669542
?,756828,151.486789,258.163389
?,732208,169.964717,359.978787
?,756356,151.513622,257.466454
?,633437,149.430762,269.997506
?,818078,167.742055,463.921966
?,743735,152.21756,239.291245
?,717149,159.437305,296.552106
?,705836,142.679604,219.012772
?,631553,154.792402,294.927474
?,679124,149.520916,282.107358
?,1380833,147.540656,284.117149
?,809995,156.975775,393.839111
?,799080,168.938689,427.832992
?,733033,169.919564,361.181797
?,552458,150.656668,259.465015
?,583751,153.175282,209.91205
?,1547571,161.37341,452.345586
?,761104,167.977047,424.061725
?,804154,168.65646,435.436812
?,646359,153.529454,233.54166
?,720720,158.783873,246.729171
?,702280,160.301301,273.633854
?,810090,167.028866,298.976688
?,652672,145.978976,178.408954
?,781634,159.095054,344.728544
?,828571,155.863619,424.959948
?,765547,139.240997,306.813476
?,1386175,147.387028,287.688985
?,764517,151.03062,270.826764
?,770243,159.075382,343.906525
?,728416,152.996429,221.153559
?,1560030,160.894183,469.000457
?,896295,175.400196,401.567156
?,737452,140.977251,259.044033
?,857683,178.870282,392.361976
?,695314,144.256017,206.141954
?,568608,153.885792,196.246834
?,835978,180.05126,352.413572
?,757304,151.4608,258.811826
?,813608,147.606676,383.852164
?,1359448,148.104151,272.075881
?,760851,167.995363,423.46398
?,608499,145.643609,167.365175
?,917765,174.115917,451.732101
?,1433110,146.027104,321.234565
?,795181,148.966092,336.705802
?,929389,173.39347,478.76678
?,654918,150.176106,192.067603
?,789576,149.371169,322.93619
?,684024,149.350218,283.604772
?,827736,146.579777,418.318422
?,659004,163.079436,273.693441
?,1579506,160.047219,501.87353
?,763306,160.122928,317.459497
?,677516,147.254075,307.241736
?,1433971,145.995826,322.18031
?,732696,146.656525,343.709028
?,548030,147.003755,150.018231
?,723271,142.882458,234.882249
?,830206,166.842042,496.041376
?,919706,173.989028,456.239804
?,621225,155.383942,282.388203
?,626168,155.107258,288.236511
?,758395,139.693314,294.010016
?,1386787,147.373751,287.927571
?,727537,146.977172,335.35349
?,654161,145.563195,235.406088
?,1403912,146.883448,299.552178
?,1357098,148.170979,270.587491
?,868820,176.37434,371.172328
?,802717,148.403956,356.466042
?,601725,145.872727,164.236223
?,819358,166.603904,310.326298
?,1384177,147.441095,286.499033
?,931201,173.311186,480.967554
?,716036,147.666735,318.336932
?,694253,151.154583,281.276186
?,1559458,160.918171,468.111054
?,632266,154.739599,296.409041
?,715346,147.707206,317.38183
?,782022,159.076892,345.099682
?,727216,158.884859,311.094913
?,740457,140.79806,263.743161
?,747721,152.006709,244.382428
?,1430597,146.113472,318.767205
?,743965,140.582955,269.637608
?,647415,153.963139,311.490316
?,739907,146.168906,357.834536
?,785487,158.300484,361.255589
?,860319,178.674766,400.558929
?,779089,138.381705,330.84255
?,715475,143.295614,225.424214
?,859341,178.731489,398.524309
?,711550,143.48659,221.368063
?,847425,165.125682,353.633587
?,682786,146.962118,313.333333
?,609389,145.612664,167.745012
?,760473,151.2777,263.734248
?,925029,173.68175,466.99898
?,858817,178.771232,396.939326
?,547677,150.875207,256.80035
?,915334,174.31613,442.751471
?,633773,146.401709,223.532908
?,655612,145.497559,236.566143
?,839289,166.195842,518.540169
?,650395,145.73045,232.697161
?,750261,151.874696,247.502214
?,646225,148.865469,277.727519
?,774145,166.949536,461.155348
?,704394,148.3247,303.384438
?,714567,159.110888,238.29416
?,785118,158.321839,360.643474
?,1373891,147.730215,279.699549
?,1416728,146.553015,306.992715
?,727964,146.944691,336.400736
?,649986,144.956735,183.191971
?,852027,164.865906,362.350314
?,753425,151.686128,252.726072
?,574920,153.598718,201.541228
?,649229,153.373258,236.969814
?,787800,158.192771,363.357489
?,721723,159.21531,301.946129
?,562002,150.388547,259.76655
?,667386,145.431684,186.363085
?,872082,177.86702,433.175703
?,715859,159.044435,239.887803
?,675026,147.38559,304.666313
?,713620,159.646532,291.009067
?,739865,169.499427,373.37013
?,810369,156.957002,394.243405
?,740239,146.147878,358.369321
?,778989,166.593028,473.757975
?,806957,157.148393,389.310659
?,648031,150.494891,185.832843
?,686551,143.539829,203.698905
?,671481,147.578242,300.800538
?,693635,146.367377,325.558336
?,653587,153.604465,319.440836
?,662961,162.809676,281.673176
?,773679,150.46266,287.343383
?,1366126,147.929182,275.64649
?,631660,146.488868,222.242975
?,807120,168.465874,441.089388
?,1426004,146.256821,314.961834
?,732338,158.343351,256.005354
?,789685,149.363533,323.183369
?,751093,151.827977,248.719492
?,722821,142.906485,234.327619
?,1374704,147.706458,280.248231
?,1578963,160.073297,500.752916
?,729743,146.829577,339.466422
?,850315,179.240093,379.737621
?,666640,147.846529,295.324268
?,831400,146.321718,426.615719
?,678271,147.226178,307.497682
?,714290,143.345374,224.511564
?,823397,156.183042,415.483279
?,718253,147.545809,320.954342
